# Volatile MSVC compiler-generated function evidence.
#
# Audit/navigation only: this file is intentionally not consumed by the source-label
# or objdiff pipeline. _$E<n> is a TU-local emission ordinal, not semantic identity;
# its numeric suffix can change when declarations or compiler emission order change.
# Deterministic compiler-generated symbols (for example ??_G deleting destructors)
# remain RVA_COMPGEN source bindings. Only volatile ordinal helpers belong here.
#
# rva	size	observed_name	unit	former_source
0x00008040	0xa	_$E32832	actionarea	src/Gruntz/ActionArea.cpp:118
0x00008060	0x15	_$E32864	actionarea	src/Gruntz/ActionArea.cpp:119
0x00008090	0xe	_$E32912	actionarea	src/Gruntz/ActionArea.cpp:120
0x000080b0	0x1f	_$E32944	actionarea	src/Gruntz/ActionArea.cpp:121
0x0000af30	0xa	_$E44848	advancedoptions	src/Gruntz/AdvancedOptions.cpp:25
0x0000af50	0xb	_$E44880	advancedoptions	src/Gruntz/AdvancedOptions.cpp:26
0x0000af70	0xe	_$E44912	advancedoptions	src/Gruntz/AdvancedOptions.cpp:27
0x0000af90	0xa	_$E44944	advancedoptions	src/Gruntz/AdvancedOptions.cpp:28
0x00018720	0xa	_$E100128	gametext	src/Gruntz/GameText.cpp:33
0x00018740	0x79	_$E100160	gametext	src/Gruntz/GameText.cpp:34
0x000187e0	0xe	_$E100320	gametext	src/Gruntz/GameText.cpp:35
0x00018800	0x14	_$E100352	gametext	src/Gruntz/GameText.cpp:36
0x000238b0	0xa	_$E145584	checkpointdlg	src/Gruntz/CheckpointDlg.cpp:56
0x000238d0	0xd	_$E145616	checkpointdlg	src/Gruntz/CheckpointDlg.cpp:57
0x000238f0	0xe	_$E145648	checkpointdlg	src/Gruntz/CheckpointDlg.cpp:58
0x00023910	0x1f	_$E145680	checkpointdlg	src/Gruntz/CheckpointDlg.cpp:59
0x00023940	0xa	_$E145728	checkpointdlg	src/Gruntz/CheckpointDlg.cpp:60
0x00023960	0xd	_$E145760	checkpointdlg	src/Gruntz/CheckpointDlg.cpp:61
