# data-symbol baseline: POD/scalar/const globals still bound by a
# storage-less DATA_SYMBOL (should be real DATA defs). Frozen, down-only;
# drive to 0. Regenerate: python -m gruntz.audit.data_symbol --write-baseline
# rva	mangled	file
0x00001041	_GruntzSaveGameDlgProc	GruntzMgr.cpp
0x00001087	_CreateWayPoint	GameObjectFactory.cpp
0x0000113b	_MultiPauseCallback	Multi.cpp
0x000011b8	_CreateDroppedObjectShadow	GameObjectFactory.cpp
0x000011d1	_GruntzSaveMsgDlgProc	GruntzMgr.cpp
0x00001217	_CreateAmbientPosSound	GameObjectFactory.cpp
0x0000137a	_CreateGiantRock	GameObjectFactory.cpp
0x000013c0	_CreateFrontCandy	GameObjectFactory.cpp
0x0000158c	_CreateBoomerang	GameObjectFactory.cpp
0x000015af	_CreateSecretTeleporterTrigger	GameObjectFactory.cpp
0x000015f0	_CreateKitchenSlime	GameObjectFactory.cpp
0x0000164f	_CreateGuardPoint	GameObjectFactory.cpp
0x000016c7	_CreateTimeBomb	GameObjectFactory.cpp
0x00001794	_CreateCheckpointTrigger	GameObjectFactory.cpp
0x00001799	_CreateTileTriggerSwitch	GameObjectFactory.cpp
0x000017e4	_CreateGruntCreationPoint	GameObjectFactory.cpp
0x0000182a	_CreateToobSpikez	GameObjectFactory.cpp
0x000018bb	_CreateBehindCandy	GameObjectFactory.cpp
0x00001910	_CreateGruntToySprite	GameObjectFactory.cpp
0x0000191a	_CreateWormhole	GameObjectFactory.cpp
0x0000191f	_CreateRollingBall	GameObjectFactory.cpp
0x0000192e	_CreateExitTrigger	GameObjectFactory.cpp
0x00001947	?Lab401947@@YAXXZ	GruntzMgr.cpp
0x000019bf	_CreateBrickz	GameObjectFactory.cpp
0x000019d3	_CreateDoNothing	GameObjectFactory.cpp
0x00001a37	_CreateSimpleAnimation	GameObjectFactory.cpp
0x00001a8c	_CreateSpotLight	GameObjectFactory.cpp
0x00001aaa	_CreateEyeCandy	GameObjectFactory.cpp
0x00001b09	_CreateLevelTime	GameObjectFactory.cpp
0x00001bae	_CreateGruntToyTimeSprite	GameObjectFactory.cpp
0x00001bd1	?Reset@CSBI_RectOnly@@UAEXXZ	SBI_RectOnlyDtorEh.cpp
0x00001bf4	_CreateSecretLevelTrigger	GameObjectFactory.cpp
0x00001d43	_CreateTileTriggerTransition	GameObjectFactory.cpp
0x00001e1f	_CreateToyPeek	GameObjectFactory.cpp
0x00001e24	_CreateDroppedObject	GameObjectFactory.cpp
0x00001e5b	_CreateRainCloud	GameObjectFactory.cpp
0x00001f0a	_CreateWarpStonePad	GameObjectFactory.cpp
0x00001f19	_CreateAniCycle	GameObjectFactory.cpp
0x00001f32	_CreateGruntVoice	GameObjectFactory.cpp
0x00001f91	_CreateFrontCandyAni	GameObjectFactory.cpp
0x00002158	_CreateAmbientSound	GameObjectFactory.cpp
0x00002167	_GruntzLoadGameDlgProc	GruntzMgr.cpp
0x000021e9	_GruntzDebugGruntTypeProc	GruntzMgr.cpp
0x0000222f	?MultiJoinHandler@@YAXXZ	Multi.cpp
0x000024a5	_CreateGruntStartingPoint	GameObjectFactory.cpp
0x000024e6	?SaveRunCallback@@YAHPAX0HHH@Z	GameSave.cpp
0x000025d1	_CreateGruntStaminaSprite	GameObjectFactory.cpp
0x00002702	_CreateSingleAnimation	GameObjectFactory.cpp
0x000027c0	_CreateStatusBarSprite	GameObjectFactory.cpp
0x000027cf	_CreateGruntPowerupSprite	GameObjectFactory.cpp
0x000027fc	_MultiOptionzCallback	Multi.cpp
0x00002851	_CreateSpotAmbientSound	GameObjectFactory.cpp
0x0000288d	_CreateInGameIcon	GameObjectFactory.cpp
0x00002a68	_CreateGruntPuddle	GameObjectFactory.cpp
0x00002ab8	_LevelNumberDialogProcThunk	GruntzMgr.cpp
0x00002bad	_CreateInGameText	GameObjectFactory.cpp
0x00002bbc	_CreateCursorSnapSprite	GameObjectFactory.cpp
0x00002bdf	_CreateLightFx	GameObjectFactory.cpp
0x00002cf2	_CreateVoiceTrigger	GameObjectFactory.cpp
0x00002d0b	_WarpDialogProcThunk	RezMgr.cpp
