# data-tu-order baseline: ordinary-data defs that land inside another
# TU's same-storage band (known scattered singletons / accepted homes).
# Regenerate: python -m gruntz.audit.data_tu_order --write-baseline
# rva	name	owner_cpp	container_cpp	storage
0x001efb18	g_rasterScale	WarpTextureBlit.cpp	WallProject.cpp	rdata
0x001efb1c	g_rasterScaleNeg	WarpTextureBlit.cpp	WallProject.cpp	rdata
0x0020b8b8	g_levelMsgIconPos	GameMode.cpp	BootyMessages.cpp	data
0x0024dacc	g_sfCfgA0	SoundFontPath.cpp	SFSelectDevice.cpp	bss
0x0024dace	g_sfCfgA2	SoundFontPath.cpp	SFSelectDevice.cpp	bss
0x0024dad0	g_sfCfgB0	SoundFontPath.cpp	SFSelectDevice.cpp	bss
0x0024dad4	g_sfCurPath	SoundFontPath.cpp	SFSelectDevice.cpp	bss
0x0024dadc	g_sfCfgB12	SoundFontPath.cpp	SFSelectDevice.cpp	bss
0x0024dd28	g_sfDeviceId	SoundFontPath.cpp	SFSelectDevice.cpp	bss
0x00283ee4	g_ddCreateCtx	DirectDrawMgr.cpp	FileImage.cpp	bss
0x00283ee8	g_DirectDraw	DirectDrawMgr.cpp	FileImage.cpp	bss
0x002becf8	g_rasterVtxCount	ImagePolyClip.cpp	WarpTextureBlit.cpp	bss
0x002bf218	g_blendDescr	DDrawShadeBlit.cpp	ShadeDescrTable.cpp	bss
0x002bf464	g_projActCache	GruntStartingPoint.cpp	TypeKeyColl.cpp	bss
0x002bf464	g_zvecErrSentinel	GruntStartingPoint.cpp	TypeKeyColl.cpp	bss
