# unit-level REL32 call-count divergence, base vs delinked target.
# ours>retail: we call where retail expanded (or delink packing).
# ours<retail: we expand where retail called. Generated by the EH-map campaign screen.
unit	callee	ours	retail
actionarea	??0?$zDArray@P8CUserLogic@@AEHXZ@@QAE@HH@Z	1	0
actionarea	??1?$zDArray@P8CUserLogic@@AEHXZ@@UAE@XZ	1	0
advancedoptions	?Close@RegistryHelper@Utils@@QAEXXZ	2	1
anicycle	??0?$zDArray@P8CUserLogic@@AEHXZ@@QAE@HH@Z	1	0
anicycle	??1?$zDArray@P8CUserLogic@@AEHXZ@@UAE@XZ	1	0
anicycle	??1CUserBase@@UAE@XZ	3	2
anicycle	??1CUserLogic@@UAE@XZ	2	1
anicycle	??1zBitVec@@UAE@XZ	5	4
anicycle	??3@YAXPAX@Z	3	1
anicycle	?Chain@CWapX@@QAEHPAVCFileMemBase@@W4SerialMode@@W4LogicTypeId@@PAUCGameObject@@@Z	1	0
anicycle	?SerializeMove@CUserLogic@@UAEHPAVCFileMemBase@@W4SerialMode@@W4LogicTypeId@@PAUCGameObject@@@Z	1	0
anirecord	??3@YAXPAX@Z	4	3
areamgr	??0CAreaMgr@@QAE@XZ	1	0
areamgr	??0CString@@QAE@ABV0@@Z	3	2
areamgr	??1CAreaMgr@@QAE@XZ	1	0
arrayserialize	??2@YAPAXI@Z	15	2
arrayserialize	??3@YAXPAX@Z	19	4
arrayserialize	?ConstructElements@@YGXPAPAUPLAYLISTINFOSTRUCT@@H@Z	1	0
arrayserialize	?SetSize@?$CArray@PAUPLAYLISTINFOSTRUCT@@PAU1@@@QAEXHH@Z	3	0
attractstate	??3@YAXPAX@Z	2	1
attractstate	?ReleaseResources@CState@@UAEXXZ	4	2
battlezdlgcolors	??1CDialog@@UAE@XZ	4	1
battlezdlgcolors	??1CString@@QAE@XZ	1	0
battlezmapconfig	??1CPtrList@@UAE@XZ	25	24
battlezunitstep	??0CRect@@QAE@HHHH@Z	4	3
battlezunitstep	?RemoveAll@CPtrList@@QAEXXZ	11	10
behindcandy	??1CUserBase@@UAE@XZ	3	2
behindcandy	??1CUserLogic@@UAE@XZ	2	1
behindcandy	??1zBitVec@@UAE@XZ	5	4
behindcandy	??3@YAXPAX@Z	3	1
behindcandyani	??0?$zDArray@P8CUserLogic@@AEHXZ@@QAE@HH@Z	1	0
behindcandyani	??1?$zDArray@P8CUserLogic@@AEHXZ@@UAE@XZ	1	0
behindcandyani	??1CUserBase@@UAE@XZ	3	2
behindcandyani	??1CUserLogic@@UAE@XZ	2	1
behindcandyani	??1zBitVec@@UAE@XZ	5	4
behindcandyani	??3@YAXPAX@Z	3	1
behindcandyani	?Chain@CWapX@@QAEHPAVCFileMemBase@@W4SerialMode@@W4LogicTypeId@@PAUCGameObject@@@Z	1	0
behindcandyani	?SerializeMove@CUserLogic@@UAEHPAVCFileMemBase@@W4SerialMode@@W4LogicTypeId@@PAUCGameObject@@@Z	1	0
bootystateactivate	??0CButeMgr@@QAE@XZ	1	0
bootystateactivate	??0CString@@QAE@ABV0@@Z	4	3
bootystateactivate	??0CString@@QAE@PBD@Z	31	15
bootystateactivate	??0CString@@QAE@XZ	29	21
bootystateactivate	??0CWinApp@@QAE@PBD@Z	1	0
bootystateactivate	??1CBSecStream@@UAE@XZ	3	0
bootystateactivate	??1CButeMgr@@QAE@XZ	1	0
bootystateactivate	??1CButeTail@@QAE@XZ	1	0
bootystateactivate	??1CString@@QAE@XZ	106	89
bootystateactivate	??1CWinApp@@UAE@XZ	1	0
bootystateactivate	??1zErrHandling@@UAE@XZ	10	0
bootystateactivate	??1zPTree@@UAE@XZ	1	0
bootystateactivate	??1zPtrColl@@UAE@XZ	10	0
bootystateactivate	??3@YAXPAX@Z	5	2
bootystateactivate	??_EzPTree@@UAEPAXI@Z	1	0
bootystateactivate	??_M@YGXPAXIHP6EX0@Z@Z	2	0
