name,rva,size,note
??_7CGdiObject@@6B@,0x1e8cd4,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CBrush@@6B@,0x1e8cf4,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CRgn@@6B@,0x1ea2a4,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CMapStringToOb@@6B@,0x1eafd4,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CMapStringToPtr@@6B@,0x1eb014,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CPtrList@@6B@,0x1eb054,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CDialog@@6B@,0x1eb174,0xd8,MFC/CRT (statically linked; not reconstructed)
??_7CWnd@@6B@,0x1eb5c4,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CTestCmdUI@@6B@,0x1eb6ac,0x10,MFC/CRT (statically linked; not reconstructed)
??_7_AFX_CTL3D_STATE@@6B@,0x1eb6c4,0x4,MFC/CRT (statically linked; not reconstructed)
??_7CCmdTarget@@6B@,0x1eb7d4,0x58,MFC/CRT (statically linked; not reconstructed)
??_7CCmdUI@@6B@,0x1eb834,0x10,MFC/CRT (statically linked; not reconstructed)
??_7CDC@@6B@,0x1eba34,0x7c,MFC/CRT (statically linked; not reconstructed)
??_7CClientDC@@6B@,0x1ebab4,0x7c,MFC/CRT (statically linked; not reconstructed)
??_7CWindowDC@@6B@,0x1ebb34,0x7c,MFC/CRT (statically linked; not reconstructed)
??_7CPaintDC@@6B@,0x1ebbb4,0x7c,MFC/CRT (statically linked; not reconstructed)
??_7CPen@@6B@,0x1ebc34,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CResourceException@@6B@,0x1ebc4c,0x1c,MFC/CRT (statically linked; not reconstructed)
??_7CUserException@@6B@,0x1ebc6c,0x1c,MFC/CRT (statically linked; not reconstructed)
??_7CStatic@@6B@,0x1ebd64,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CButton@@6B@,0x1ebe34,0xc4,MFC/CRT (statically linked; not reconstructed)
??_7CListBox@@6B@,0x1ebf04,0xd8,MFC/CRT (statically linked; not reconstructed)
??_7CComboBox@@6B@,0x1ebfec,0xd0,MFC/CRT (statically linked; not reconstructed)
??_7CEdit@@6B@,0x1ec0cc,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CScrollBar@@6B@,0x1ec19c,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7_AFX_THREAD_STATE@@6B@,0x1ec264,0x4,MFC/CRT (statically linked; not reconstructed)
??_7AFX_MODULE_STATE@@6B@,0x1ec274,0x4,MFC/CRT (statically linked; not reconstructed)
??_7AFX_MODULE_THREAD_STATE@@6B@,0x1ec27c,0x4,MFC/CRT (statically linked; not reconstructed)
??_7_AFX_BASE_MODULE_STATE@@6B@,0x1ec284,0x4,MFC/CRT (statically linked; not reconstructed)
??_7CDWordArray@@6B@,0x1ec29c,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CPtrArray@@6B@,0x1ec2dc,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CDragListBox@@6B@,0x1ec5ec,0xec,MFC/CRT (statically linked; not reconstructed)
??_7CToolBarCtrl@@6B@,0x1ec6ec,0xc0,MFC/CRT (statically linked; not reconstructed)
