# generated by gruntz.analysis.link_order - inferred retail link order
rank	rva	module	unit	n_funcs	n_blocks	blocks
0	0x007c20	Utils	applyrange	1	1	7c20-7c20
1	0x008750	Wap32	zvec	5	2	8750-312a0;16da80-16da80
2	0x008a40	Gruntz	logictypetable	1	1	8a40-8a40
3	0x008c00	Gruntz	cserialsub34	1	1	8c00-8c00
4	0x0090e0	Gruntz	actionoptionsmenubar	11	1	90e0-9810
5	0x00afb0	Gruntz	advancedoptions	5	1	afb0-b270
6	0x00b5e0	Gruntz	worldsoundset	7	1	b5e0-bd60
7	0x00bb40	Gruntz	randomambientsound	4	1	bb40-cb30
8	0x00c090	Gruntz	cambientsound	3	1	c090-c200
9	0x00f6b0	Gruntz	cdonothing	2	1	f6b0-f6b0
10	0x00fb70	Gruntz	cbehindcandy	2	1	fb70-fb70
11	0x00fca0	Gruntz	ceyecandy	2	1	fca0-fca0
12	0x010540	Gruntz	csingleanimation	1	1	10540-10540
13	0x010870	Gruntz	cexittrigger	2	1	10870-10870
14	0x010a10	Gruntz	userlogic	47	2	10a10-65a60;ee800-ee800
15	0x011880	Gruntz	ccursorsnapsprite	2	1	11880-11880
16	0x015ac0	Gruntz	dialogs	17	2	15ac0-17460;c20a0-c20a0
17	0x018740	Gruntz	gametext	4	2	18740-1ec20;82990-82990
18	0x018c90	Gruntz	gamemode	41	2	18c90-39d00;8c490-a0d80
19	0x01fde0	Utils	winapicdrom	1	1	1fde0-1fde0
20	0x0204e0	Gruntz	chatboxowner	4	1	204e0-21140
21	0x0218e0	Gruntz	fontconfig	7	1	218e0-22360
22	0x022b00	Gruntz	cheatmgr	4	1	22b00-22c80
23	0x0239d0	Gruntz	gruntzcmdmgr	11	1	239d0-24a90
24	0x023e20	Gruntz	gruntzcommand	10	1	23e20-24490
25	0x025020	Gruntz	battlezmapconfig	1	1	25020-25020
26	0x025c20	Gruntz	unknownclassarrays	33	1	25c20-350d0
27	0x031c70	Gruntz	grunt	60	2	31c70-6b260;f26f0-f26f0
28	0x036860	Gruntz	cmenustate	3	2	36860-36a30;a0d40-a0d40
29	0x036f30	Gruntz	videoconfig	2	1	36f30-370a0
30	0x0382c0	Gruntz	statemgrbz	5	1	382c0-386b0
31	0x0387c0	Gruntz	inputdeviceconfig	1	1	387c0-387c0
32	0x03ecc0	Gruntz	cgruntcreationpoint	2	1	3ecc0-3ecc0
33	0x03fc70	Gruntz	wormhole	6	1	3fc70-412c0
34	0x040c30	Gruntz	gruntpuddle	4	1	40c30-7d810
35	0x0419e0	Gruntz	cteleporter	2	1	419e0-419e0
36	0x042ac0	Gruntz	csecretleveltrigger	2	1	42ac0-42ac0
37	0x044640	Gruntz	warlord	3	1	44640-44bb0
38	0x046410	Gruntz	cfortressflag	2	1	46410-46410
39	0x046d30	Gruntz	cparticlez	2	1	46d30-46d30
40	0x056da0	Gruntz	gruntdatarecord	1	1	56da0-56da0
41	0x06b640	Gruntz	triggermgr	38	1	6b640-7d330
42	0x06c130	Gruntz	tilewireswitchlogic	1	1	6c130-6c130
43	0x06d300	Gruntz	triggermgr_eh	4	1	6d300-79b80
44	0x075e90	Gruntz	terraintileloader	1	1	75e90-75e90
45	0x077790	Gruntz	brickz	14	1	77790-9f710
46	0x078960	Gruntz	iconloaders	4	2	1c070-1c070;78960-7c620
47	0x07db20	Gruntz	siriusworkerhandlers	4	2	3d670-3d670;7db20-7dda0
48	0x07e9c0	Gruntz	cgruntselectedsprite	3	1	7e9c0-7e9f0
49	0x07f0d0	Gruntz	cgrunthealthsprite	2	1	7f0d0-7f0d0
50	0x07f920	Gruntz	cgrunttoysprite	3	1	7f920-7f960
51	0x07fae0	Gruntz	gameobjectctors	5	1	7fae0-b4a90
52	0x07fd90	Gruntz	cgruntwingztimesprite	2	1	7fd90-7fd90
53	0x080380	Gruntz	cgruntpowerupsprite	3	1	80380-80410
54	0x080930	Gruntz	gruntzapp	10	2	80930-80c70;112820-112820
55	0x082430	Gruntz	maplogic	5	2	82430-9f7f0;ec230-ec230
56	0x0860b0	Gruntz	gruntzmgr	54	2	860b0-93620;111ec0-111ec0
57	0x08c910	Gruntz	cplay	28	2	36be0-36be0;8c910-dc6d0
58	0x08e4e0	Gruntz	appdialogs	1	1	8e4e0-8e4e0
59	0x094670	Gruntz	gruntzwnd	9	1	94670-94b90
60	0x095750	Gruntz	ingameworkerhandlers	3	1	95750-aa6e0
61	0x097680	Gruntz	ingameicon	5	1	97680-99b10
62	0x099460	Gruntz	ingametext	3	1	99460-99a30
63	0x099d10	Gruntz	mgrtokenquery	1	1	99d10-99d10
64	0x099d40	Gruntz	areamgr	4	1	99d40-9b430
65	0x09bab0	Gruntz	spriteloaders	9	1	9bab0-d7440
