# gruntz match baseline - generated by gruntz.match.status. DO NOT hand-edit.
#   units rows:     unit  n_functions  matched   (matched = at 100% fuzzy now;
#                    the README's per-module 'exact' uses objdiff's byte-exact count)
#   function rows:  unit  function  best_pct  cur_pct  tries  src_hash  rva
#   rva      = retail RVA (stable identity): a vanished row whose rva is still
#              occupied is a rename, not a loss - so signature edits don't regress.
#   best_pct = best-ever (max) objdiff fuzzy% - the REGRESSION gate (may be 100%).
#   cur_pct  = fuzzy% at THIS commit - `diff <revA> [<revB>]` two commits to see
#              the moves (e.g. unit 5->10 fns, a fn 10%->40%) while best_pct holds.
#   tries    = times this function's source fingerprint changed (how much it has
#              been worked on - high = hard to match).
#   src_hash = per-function source fingerprint (editing a fn bumps tries + resets best).
# Query: python -m gruntz.match.status check | status | summary | diff <revA> [<revB>]
# [units]	unit	n_functions	matched
actionarea	11	8
actionbeginhost	1	1
actionoptionsmenubar	11	3
adler32	1	1
advancedoptions	6	6
anicycle	7	5
aniplayer	4	0
anirecord	13	10
applyrange	1	1
areamgr	18	10
arrayserialize	4	4
attract	19	8
attractstate	12	8
battlezdata	30	27
battlezdlgrow	1	0
battlezmapconfig	50	16
behindcandy	4	3
behindcandyani	8	6
bitarray	1	1
bitstreamblowfish	1	0
blowfish	4	3
blowfishcopy	1	0
boomerang	3	0
bootycheatstate	1	0
bootymessages	3	0
bootystateactivate	29	17
bootywalkanim	2	0
bracketvalue	1	1
brickz	5	1
brickzcellflags	3	1
brickzclip	1	0
brickzload	1	0
bridgemovesprites	1	0
bsecobj10fctor	1	1
buildgruntzcrcinfo	1	0
butemgr	53	34
butenode	3	2
butesectionctor	1	1
butestoreclear	1	1
butetree	1	1
bzkinddispatch	1	0
chainforward	2	0
chatbox	28	21
chatbox_eh	1	1
chatboxowner	7	2
cheatmgr	7	4
checkpointdlg	6	5
checkpointswitchbuild	1	0
cimage	28	16
circleshadeblit	1	0
cmdscrollapply	2	2
colorhsv	1	0
connslotlist	3	3
creditsstate	16	8
creditzassets	1	1
cremusnode	2	0
cspawnentry	1	1
cursorsnapactreg	2	1
cursorsnapsprite	6	5
customleveldlg	1	0
customworlddialog	13	9
databuffer	8	6
ddpagemgr	17	10
ddpalette	23	7
ddrawblterrthunk	1	1
ddrawpolyfill	1	0
ddrawptrcollections	10	6
ddrawshadeblit	10	2
ddrawsubmgr	95	62
ddrawsubmgrleaf	13	9
ddrawsurfacemgr	13	8
ddrawsurfacepair	44	24
ddrawworkerhost	1	0
ddrawworkerregistry	24	17
ddsurface	55	36
