# Statically-linked library DATA labels: MFC/CRT/iostream vtables and vtable-like
# tables, SDK GUIDs, and library constants named by game code. Executable labels
# for delinking - never reconstructed game-owned classes. A unit + a size ENROL
# the row in the delinker's data manifest (that enrolled definition is what binds
# every reference by name); library data no game TU can re-emit is routed to the
# deliberate `library_data` holding unit, which config/units.toml does not declare,
# so objdiff never opens it. vtable_catalog.validate() sanctions exactly that name.
rva	size	name	unit	note
0x1e8cb4	0x14	??_7CObject@@6B@	wwdspatialmgr	MFC/CRT (statically linked; not reconstructed)
0x1e8cd4	0x14	??_7CGdiObject@@6B@	multistartdlg	MFC/CRT (statically linked; not reconstructed)
0x1e8cf4	0x14	??_7CBrush@@6B@	multistartdlg	MFC/CRT (statically linked; not reconstructed)
0x1ea2a4	0x14	??_7CRgn@@6B@	gruntzmgr	MFC/CRT (statically linked; not reconstructed)
0x1eafd4	0x14	??_7CMapStringToOb@@6B@		MFC/CRT (statically linked; not reconstructed)
0x1eb014	0x14	??_7CMapStringToPtr@@6B@		MFC/CRT (statically linked; not reconstructed)
0x1eb054	0x14	??_7CPtrList@@6B@		MFC/CRT (statically linked; not reconstructed)
0x1eb068	0x8	?messageMap@CDialog@@1UAFX_MSGMAP@@B	library_data	MFC AFX_MSGMAP {pBaseMessageMap=&CWnd::messageMap 0x1eb2e0, lpEntries=0x1eb070}; every CDialog-derived map chains to it - dialogs/battlezdlgcolors/customleveldlg/checkpointdlg/multihelpdlg/multistartdlg
0x1eb070	0xd8	?_messageEntries@CDialog@@0PBUAFX_MSGMAP_ENTRY@@B	library_data	CDialog map entries: 9 x 24-B AFX_MSGMAP_ENTRY, ends 0x1eb148 (NAFXCW dgcore.obj)
0x1eb174	0xd8	??_7CDialog@@6B@		MFC/CRT (statically linked; not reconstructed)
0x1eb2e0	0x8	?messageMap@CWnd@@1UAFX_MSGMAP@@B	library_data	CWnd AFX_MSGMAP {pBase=&CCmdTarget::messageMap 0x1eb6c8, lpEntries=0x1eb2e8}
0x1eb2e8	0x2a0	?_messageEntries@CWnd@@0PBUAFX_MSGMAP_ENTRY@@B	library_data	CWnd map entries: 28 x 24-B AFX_MSGMAP_ENTRY, ends 0x1eb588 (NAFXCW wincore.obj)
0x1eb5c4	0xc0	??_7CWnd@@6B@		MFC/CRT (statically linked; not reconstructed)
