# Vendored zlib-1.0.4 data labels - the DATA() analog for pristine vendored TUs.
# Same contract as functions_zlib.tsv: emitted by labels.py into the owning unit's
# fragment and authority-checked against the base obj.
rva	name	unit	size
0x224fb0	_deflate_copyright	deflate	0x35
0x224fe8	_configuration_table$S	deflate	0x78
0x225060	_border$S	infblock	0x4c
0x225120	_z_errmsg	zutil	0x28
0x2251b8	_extra_lbits$S	trees	0x74
0x225230	_extra_dbits$S	trees	0x78
0x2252a8	_extra_blbits$S	trees	0x4c
0x2252f8	_bl_order$S	trees	0x13
0x225310	_static_l_desc$S	trees	0x14
0x225328	_static_d_desc$S	trees	0x14
0x225340	_static_bl_desc$S	trees	0x14
0x225358	_inflate_copyright	inftrees	0x2f
0x225388	_cplens$S	inftrees	0x7c
0x225408	_cplext$S	inftrees	0x7c
0x225488	_cpdist$S	inftrees	0x78
0x225500	_cpdext$S	inftrees	0x78
0x225640	_inflate_mask	infutil	0x44
0x2bf8e8	_length_code$S	trees	0x100
0x2bf9e8	_base_length$S	trees	0x74
0x2bfa60	_dist_code$S	trees	0x200
0x2bfc60	_static_ltree$S	trees	0x480
0x2c00e0	_static_dtree$S	trees	0x78
0x2c0158	_base_dist$S	trees	0x78
0x2c01d0	_?static_init_done@?1??tr_static_init@@9@9$S	trees	0x4
0x2c01d8	_fixed_td$S	inftrees	0x4
0x2c01dc	_fixed_tl$S	inftrees	0x4
0x2c01e0	_fixed_mem$S	inftrees	0x1090
0x2c1270	_fixed_bd$S	inftrees	0x4
0x2c1274	_fixed_bl$S	inftrees	0x4
0x2c1278	_fixed_built$S	inftrees	0x4
