# MANUALLY MANAGED - the admitted retail .text partition: one row per
# function START (rva) plus its structural kind. No sizes and no names:
# a row's extent is DERIVED to the next row's rva (the last row ends at
# .text's virtual end), so it spans the function's whole contribution,
# trailing jump tables included. The exact CODE size of a byte-matched
# body lives on its claim - RVA(rva, size) in src/, or the size column
# of functions_zlib.tsv. kind: (empty) body | thunk (ILT/IAT glue) |
# eh (/GX funclet band) | helper (compiler 5-byte jmp forwarder, target
# re-proven from EXE bytes) | pad (non-code fill; partition bookkeeping).
# Initially admitted from the last Ghidra analysis export; boundary
# corrections are edited here. The build never regenerates this file and
# never consults a Ghidra database.
rva	kind
0x001000	thunk
0x001005	thunk
0x00100a	thunk
0x00100f	thunk
0x001014	thunk
0x001019	thunk
0x00101e	thunk
0x001028	thunk
0x00102d	thunk
0x001032	thunk
0x001037	thunk
0x00103c	thunk
0x001046	thunk
0x00104b	thunk
0x001050	thunk
0x001055	thunk
0x001064	thunk
0x001073	thunk
0x001078	thunk
0x00107d	thunk
0x001082	thunk
0x00108c	thunk
0x0010a0	thunk
0x0010a5	thunk
0x0010aa	thunk
0x0010af	thunk
0x0010b4	thunk
0x0010b9	thunk
0x0010be	thunk
0x0010c3	thunk
0x0010c8	thunk
0x0010cd	thunk
0x0010d7	thunk
0x0010e1	thunk
0x0010e6	thunk
0x0010eb	thunk
0x0010f0	thunk
0x0010ff	thunk
0x001104	thunk
0x001109	thunk
0x001113	thunk
0x001122	thunk
0x001127	thunk
0x00112c	thunk
0x001131	thunk
0x001136	thunk
0x001140	thunk
0x001145	thunk
0x00114a	thunk
0x001159	thunk
0x00115e	thunk
0x001163	thunk
0x001168	thunk
0x001172	thunk
0x001181	thunk
0x00118b	thunk
0x00119a	thunk
0x0011c2	thunk
0x0011cc	thunk
0x0011db	thunk
0x0011e5	thunk
0x0011f4	thunk
0x0011f9	thunk
0x001208	thunk
0x00120d	thunk
0x001221	thunk
0x001226	thunk
0x00122b	thunk
0x001230	thunk
0x00123a	thunk
0x00123f	thunk
0x001244	thunk
0x001249	thunk
0x001253	thunk
0x001258	thunk
0x00125d	thunk
0x001262	thunk
0x001267	thunk
0x00126c	thunk
0x001271	thunk
0x001276	thunk
0x00127b	thunk
0x001285	thunk
0x00128a	thunk
0x00128f	thunk
0x001299	thunk
0x00129e	thunk
0x0012a3	thunk
0x0012a8	thunk
0x0012ad	thunk
0x0012c1	thunk
0x0012d0	thunk
0x0012d5	thunk
0x0012da	thunk
0x0012df	thunk
0x0012ee	thunk
0x0012f3	thunk
0x0012fd	thunk
0x001302	thunk
0x001307	thunk
0x00130c	thunk
0x001311	thunk
0x001316	thunk
0x00131b	thunk
0x00132a	thunk
0x001334	thunk
0x001339	thunk
0x00133e	thunk
0x001343	thunk
0x001348	thunk
0x001352	thunk
0x001357	thunk
0x00135c	thunk
0x00136b	thunk
0x001370	thunk
0x001375	thunk
0x00137f	thunk
0x001384	thunk
0x001389	thunk
0x001393	thunk
0x001398	thunk
0x00139d	thunk
0x0013a2	thunk
0x0013b1	thunk
0x0013bb	thunk
0x0013d4	thunk
0x0013d9	thunk
0x0013f2	thunk
0x0013f7	thunk
0x0013fc	thunk
0x001401	thunk
0x001406	thunk
0x001415	thunk
0x00141a	thunk
0x00141f	thunk
0x001429	thunk
0x00142e	thunk
0x001433	thunk
0x00143d	thunk
0x001447	thunk
0x00144c	thunk
0x001451	thunk
0x001456	thunk
0x00145b	thunk
0x001465	thunk
0x00146a	thunk
0x00146f	thunk
0x001474	thunk
0x00147e	thunk
0x001483	thunk
0x001488	thunk
0x001492	thunk
0x001497	thunk
0x00149c	thunk
0x0014a6	thunk
0x0014b0	thunk
0x0014b5	thunk
0x0014ba	thunk
0x0014bf	thunk
0x0014c4	thunk
0x0014c9	thunk
0x0014d3	thunk
0x0014d8	thunk
0x0014dd	thunk
0x0014e7	thunk
0x0014ec	thunk
0x00150a	thunk
0x00150f	thunk
0x001514	thunk
0x00151e	thunk
0x001523	thunk
0x001528	thunk
0x001532	thunk
0x001537	thunk
0x001541	thunk
0x001546	thunk
0x00155a	thunk
0x00155f	thunk
0x001569	thunk
0x00156e	thunk
0x001578	thunk
0x00157d	thunk
0x001582	thunk
0x001591	thunk
0x001596	thunk
0x0015a0	thunk
0x0015a5	thunk
0x0015af	thunk
0x0015b4	thunk
0x0015b9	thunk
0x0015be	thunk
0x0015c3	thunk
0x0015c8	thunk
0x0015cd	thunk
0x0015dc	thunk
0x0015f0	thunk
0x0015f5	thunk
0x0015fa	thunk
0x001604	thunk
0x001609	thunk
0x00161d	thunk
0x001622	thunk
0x00162c	thunk
0x001636	thunk
0x00163b	thunk
0x001645	thunk
0x00164f	thunk
0x001654	thunk
0x00165e	thunk
0x001668	thunk
0x00166d	thunk
0x001672	thunk
0x001677	thunk
0x00167c	thunk
0x001681	thunk
