# Statically-linked library FUNCTION labels (NAFXCW, LIBCMT, LIBCIMT,
# DINPUT, DPLAYX, MSVC-EH/THUNK asm carve-outs, GAME-ASM): RVAs proven NOT
# reconstructable game C++, excluded from the match denominator. Label-only -
# no sizes; extents come from functions.tsv. HIGH/MED/AMBIG/CRUNTIME rows are
# active claims; LOW rows are diagnostic leads only (core/library_labels.py).
# An rva may carry SEVERAL rows: alias spellings / independent provenance for
# the same body. Rows sorted by rva; merge per ROW, never wholesale.
# HAND-OWNED: the FID regeneration pipeline is retired (it was not
# reproducible on Ghidra 12 anyway); edit rows directly, merge per ROW.
rva	name	lib	confidence	source
0x0019f1	Ilt_RegionLeave_19f1	MSVC-THUNK	HIGH	asm-carveout
0x001ba4	Ilt_RegionEnter_1ba4	MSVC-THUNK	HIGH	asm-carveout
0x002e73	Ilt_CheckExePath_2e73	MSVC-THUNK	HIGH	asm-carveout
0x002f5e	Ilt_StartupGate_2f5e	MSVC-THUNK	HIGH	asm-carveout
0x00393b	Ilt_EngRegionCueA_393b	MSVC-THUNK	HIGH	asm-carveout
0x003cb0	Ilt_MultiDispatch_3cb0	MSVC-THUNK	HIGH	asm-carveout
0x007c30	??_H@YGXPAXIHP6EX0@Z@Z	NAFXCW	HIGH	vector-ctor-iterator
0x021290	?out_waiting@streambuf@@QBEHXZ	LIBCIMT	HIGH	manual-crt-reclass
0x0213b0	?rdbuf@ostrstream@@QBEPAVstrstreambuf@@XZ	LIBCIMT	HIGH	manual-crt-reclass
0x029a50	??0CRect@@QAE@HHHH@Z	NAFXCW	HIGH	mfc-4.2-header-inline
0x0852f0	??3CObject@@SGXPAX@Z	NAFXCW	MED	manual-unmatched-library-audit
0x08c2a0	?SetRect@CRect@@QAEXHHHH@Z	NAFXCW	HIGH	mfc-4.2-header-inline
0x08c2d0	??0CRgn@@QAE@XZ	NAFXCW	MED	manual-stub-reclass
0x11d06a	??_9@$BNA@AE	NAFXCW	HIGH	vtable-slot-oracle: CDialog::_messageEntries[2] (WM_COMMAND id=2 IDCANCEL) pfn; vcall thunk to ??_7CDialog@@6B@+0xd0 = CDialog::OnCancel
0x11d072	??_9@$BMM@AE	NAFXCW	HIGH	vtable-slot-oracle: CDialog::_messageEntries[1] (WM_COMMAND id=1 IDOK) pfn; vcall thunk to ??_7CDialog@@6B@+0xcc = CDialog::OnOK
0x11d07a	?AfxGetMainWnd@@YGPAVCWnd@@XZ	NAFXCW	HIGH	anchored
0x11d096	?GetOwner@CWnd@@QBEPAV1@XZ	NAFXCW	HIGH	anchored
0x11d0ad	??0CMemoryException@@QAE@HI@Z	NAFXCW	AMBIG	anchored
0x11d0d7	??_GCWinApp@@UAEPAXI@Z	NAFXCW	AMBIG	anchored
0x11d0f3	mfc_exception_base_dtor_11d0f3	NAFXCW	MED	manual-stub-reclass
0x11d0fa	??0CMemoryException@@QAE@HI@Z	NAFXCW	AMBIG	anchored
0x11d124	??_GCWinApp@@UAEPAXI@Z	NAFXCW	AMBIG	anchored
0x11d140	mfc_exception_base_dtor_11d140	NAFXCW	MED	manual-stub-reclass
0x11d147	??_GCWinApp@@UAEPAXI@Z	NAFXCW	AMBIG	anchored
0x11d163	?PtVisible@CDC@@UBEHHH@Z	NAFXCW	AMBIG	anchored
0x11d177	?RectVisible@CDC@@UBEHPBUtagRECT@@@Z	NAFXCW	AMBIG	anchored
0x11d187	?SetOption@CInternetConnection@@QAEHKPAXKK@Z	NAFXCW	AMBIG	anchored
0x11d1a3	?ExtTextOutA@CDC@@UAEHHHIPBUtagRECT@@PBDIPAH@Z	NAFXCW	HIGH	anchored
0x11d1c8	?TabbedTextOutA@CDC@@UAE?AVCSize@@HHPBDHHPAHH@Z	NAFXCW	HIGH	anchored
0x11d200	?SetOption@CInternetConnection@@QAEHKPAXKK@Z	NAFXCW	AMBIG	anchored
0x11d21c	?GrayStringA@CDC@@UAEHPAVCBrush@@P6GHPAUHDC__@@JH@ZJHHHHH@Z	NAFXCW	HIGH	anchored
0x11d24c	?SetOption@CInternetConnection@@QAEHKPAXKK@Z	NAFXCW	AMBIG	anchored
0x11d268	??_GCWinApp@@UAEPAXI@Z	NAFXCW	AMBIG	anchored
0x11d284	??_GCWinApp@@UAEPAXI@Z	NAFXCW	AMBIG	anchored
0x11d2a0	??_GCWinApp@@UAEPAXI@Z	NAFXCW	AMBIG	anchored
0x11d2bc	??_GCWinApp@@UAEPAXI@Z	NAFXCW	AMBIG	anchored
0x11d2d8	??_GCWinApp@@UAEPAXI@Z	NAFXCW	AMBIG	anchored
0x11d2f4	??_GCWinApp@@UAEPAXI@Z	NAFXCW	AMBIG	anchored
0x11d310	??1CNoTrackObject@@UAE@XZ	NAFXCW	HIGH	anchored
0x11d317	??_GCNoTrackObject@@UAEPAXI@Z	NAFXCW	HIGH	anchored
0x11d333	??1CHandleMap@@QAE@XZ	NAFXCW	HIGH	anchored
0x11d374	??1CDialogBar@@UAE@XZ	NAFXCW	AMBIG	anchored
0x11d3ac	?PreSubclassWindow@CDragListBox@@UAEXXZ	NAFXCW	MEDIUM	anchored
0x11d3b6	?BeginDrag@CDragListBox@@UAEHVCPoint@@@Z	NAFXCW	HIGH	anchored
0x11d3e2	?CancelDrag@CDragListBox@@UAEXVCPoint@@@Z	NAFXCW	MEDIUM	anchored
0x11d3ef	?Dragging@CDragListBox@@UAEIVCPoint@@@Z	NAFXCW	HIGH	anchored
0x11d439	?Dropped@CDragListBox@@UAEXHVCPoint@@@Z	NAFXCW	HIGH	anchored
0x11d518	?DrawInsert@CDragListBox@@UAEXH@Z	NAFXCW	HIGH	anchored
0x11d53d	?DrawSingle@CDragListBox@@QAEXH@Z	NAFXCW	HIGH	anchored
0x11d634	?OnChildNotify@CDragListBox@@MAEHIIJPAJ@Z	NAFXCW	HIGH	anchored
0x11d6f6	?Create@CToolBarCtrl@@QAEHKABUtagRECT@@PAVCWnd@@I@Z	NAFXCW	AMBIG	anchored
