# gruntz_functions.tsv - census of every retail function RVA the source
# tree labels (rva, current name, owning unit). BUILD-INTEGRITY floor: an
# RVA that vanishes from a build fails `gruntz build --full`; see
# gruntz.audit.function_census. Moves and renames are not losses - the row
# follows the label. The floor is HEAD's copy of this file unioned with
# the working tree, so deliberately removing a WRONG label means deleting
# its row here and committing the deletion.
rva	name	unit
0x007c60	_CreateActionArea	actionarea
0x007da0	??0CActionArea@@QAE@PAUCGameObject@@@Z	actionarea
0x007f80	?GetTypeTag@CActionArea@@UAE?AW4LogicTypeId@@XZ	serialobjectfactory
0x007fa0	??_GCActionArea@@UAEPAXI@Z	actionarea
0x007fd0	??1CActionArea@@UAE@XZ	actionarea
0x0080e0	?FireActivation@CActionArea@@UAEXH@Z	actionarea
0x008240	?RegisterType@CProjActObj@@SAXXZ	actionarea
0x008440	?Tick@CActionArea@@QAEHXZ	actionarea
0x008580	?ApplyColor@CActionArea@@QAEHH@Z	actionarea
0x008600	?SerializeMove@CActionArea@@UAEHPAVCFileMemBase@@W4SerialMode@@W4LogicTypeId@@PAUCGameObject@@@Z	actionarea
0x008710	??0?$zDArray@P8CUserLogic@@AEHXZ@@QAE@HH@Z	zdarrayderived
0x008750	??1?$zDArray@P8CUserLogic@@AEHXZ@@UAE@XZ	zdarrayderived
0x008780	??_G?$zDArray@P8CUserLogic@@AEHXZ@@UAEPAXI@Z	zdarrayderived
0x0087b0	??1CUserBase@@UAE@XZ	actionarea
0x0087d0	?SerializeMove@CUserBase@@UAEHPAVCFileMemBase@@W4SerialMode@@W4LogicTypeId@@PAUCGameObject@@@Z	userlogic
0x0087f0	?GetTypeTag@CUserBase@@UAE?AW4LogicTypeId@@XZ	userlogic
0x008810	??_GCUserBase@@UAEPAXI@Z	actionarea
0x008840	?GetTypeTag@CUserLogic@@UAE?AW4LogicTypeId@@XZ	userlogic
0x008860	??1CUserLogic@@UAE@XZ	actionarea
0x0088d0	?Activate@CUserLogic@@UAEXXZ	userlogic
0x0088f0	?AdvanceAnimation@CUserLogic@@UAEHXZ	userlogic
0x008910	?RecordFrameTick@CUserLogic@@UAEHXZ	userlogic
0x008930	?StepAttackFire@CUserLogic@@UAEHXZ	userlogic
0x008950	?OnLeaveActiveRegion@CUserLogic@@UAEXXZ	userlogic
0x008970	?OnObjectRemoved@CUserLogic@@UAEXXZ	userlogic
0x008990	?AfterLoad@CUserLogic@@UAEXXZ	userlogic
0x0089b0	?AfterSave@CUserLogic@@UAEXXZ	userlogic
