ordinal	type	name	lang	codepage	size	payload	provenance
1	ICON	1	1033	0	744	001_ICON_1.bin	copied
2	ICON	2	1033	0	296	002_ICON_2.bin	copied
3	GROUP_ICON	"KEYBOARD"	1033	0	34	003_GROUP_ICON_KEYBOARD.bin	copied
4	ICON	3	1033	0	744	004_ICON_3.bin	copied
5	GROUP_ICON	"JOYSTICK"	1033	0	20	005_GROUP_ICON_JOYSTICK.bin	copied
6	ICON	4	1033	0	296	006_ICON_4.bin	copied
7	ICON	5	1033	0	1384	007_ICON_5.bin	copied
8	ICON	6	1033	0	2216	008_ICON_6.bin	copied
9	ICON	7	1033	0	744	009_ICON_7.bin	copied
10	GROUP_ICON	"GRUNTZ"	1033	0	62	010_GROUP_ICON_GRUNTZ.bin	copied
11	ICON	8	1033	0	744	011_ICON_8.bin	copied
12	GROUP_ICON	"STOPCROSS"	1033	0	20	012_GROUP_ICON_STOPCROSS.bin	copied
13	ACCELERATOR	"GRUNTZ"	1033	0	248	013_ACCELERATOR_GRUNTZ.bin	authorable
14	VERSION	1	1033	0	1056	014_VERSION_1.bin	authorable
15	DIALOG	"ERROR"	1033	0	292	015_DIALOG_ERROR.bin	authorable
16	DIALOG	"DEBUG_POSITION"	1033	0	390	016_DIALOG_DEBUG_POSITION.bin	authorable
17	DIALOG	"MESSAGE"	1033	0	180	017_DIALOG_MESSAGE.bin	authorable
18	DIALOG	"BRAND"	1033	0	992	018_DIALOG_BRAND.bin	authorable
19	DIALOG	"CUSTOM_WORLD"	1033	0	494	019_DIALOG_CUSTOM_WORLD.bin	authorable
20	DIALOG	"CONFIG_SETTINGS"	1033	0	910	020_DIALOG_CONFIG_SETTINGS.bin	authorable
21	DIALOG	"DEBUG_JUMPLEVEL"	1033	0	266	021_DIALOG_DEBUG_JUMPLEVEL.bin	authorable
22	DIALOG	"EDIT_RECTS"	1033	0	200	022_DIALOG_EDIT_RECTS.bin	authorable
23	DIALOG	"GAME_SAVE"	1033	0	1860	023_DIALOG_GAME_SAVE.bin	authorable
24	DIALOG	"GAME_LOAD"	1033	0	1858	024_DIALOG_GAME_LOAD.bin	authorable
25	DIALOG	"GAME_DELETE"	1033	0	354	025_DIALOG_GAME_DELETE.bin	authorable
26	DIALOG	"MULTI_HOSTSERVICES"	1033	0	438	026_DIALOG_MULTI_HOSTSERVICES.bin	authorable
27	DIALOG	"EDIT_ATTRIBS"	1033	0	190	027_DIALOG_EDIT_ATTRIBS.bin	authorable
28	DIALOG	"GAME_SAVEMSG"	1033	0	264	028_DIALOG_GAME_SAVEMSG.bin	authorable
29	DIALOG	"PSYCHE"	1033	0	540	029_DIALOG_PSYCHE.bin	authorable
30	DIALOG	"MULTI_DROPPLAYER"	1033	0	560	030_DIALOG_MULTI_DROPPLAYER.bin	authorable
31	DIALOG	"MULTI_JOIN"	1033	0	288	031_DIALOG_MULTI_JOIN.bin	authorable
32	DIALOG	"MULTI_OUTOFSYNC"	1033	0	602	032_DIALOG_MULTI_OUTOFSYNC.bin	authorable
33	DIALOG	"MULTI_OPTIONZ"	1033	0	308	033_DIALOG_MULTI_OPTIONZ.bin	authorable
34	DIALOG	"DEBUG_GRUNTTYPE"	1033	0	1678	034_DIALOG_DEBUG_GRUNTTYPE.bin	authorable
35	DIALOG	192	1033	0	1096	035_DIALOG_192.bin	authorable
36	DIALOG	194	1033	0	206	036_DIALOG_194.bin	authorable
37	DIALOG	195	1033	0	216	037_DIALOG_195.bin	authorable
38	DIALOG	"MULTI_JOINSERVICES"	1033	0	354	038_DIALOG_MULTI_JOINSERVICES.bin	authorable
39	DIALOG	"GAME_INFO"	1033	0	260	039_DIALOG_GAME_INFO.bin	authorable
40	DIALOG	"GAME_OVERWRITE"	1033	0	310	040_DIALOG_GAME_OVERWRITE.bin	authorable
41	DIALOG	197	1033	0	1888	041_DIALOG_197.bin	authorable
42	DIALOG	"CONFIG_ADVANCED"	1033	0	558	042_DIALOG_CONFIG_ADVANCED.bin	authorable
43	DIALOG	203	1033	0	202	043_DIALOG_203.bin	authorable
44	DIALOG	"MULTI_PAUSE"	1033	0	348	044_DIALOG_MULTI_PAUSE.bin	authorable
45	DIALOG	205	1033	0	442	045_DIALOG_205.bin	authorable
46	CURSOR	9	1033	0	308	046_CURSOR_9.bin	copied
47	GROUP_CURSOR	"ARROW"	1033	0	20	047_GROUP_CURSOR_ARROW.bin	copied
48	CURSOR	10	1033	0	308	048_CURSOR_10.bin	copied
