# Manually maintained retail vtables emitted by reconstructed game/engine source.
# kind separates ordinary primary tables, multiple-inheritance secondary tables, and template specializations.
# unit is RETIRED here (2026-08-09): data_manifest.vtable_rows() enrolls every game
# vtable once per EMITTING base obj, template specializations included, so no row
# needs a hand-written owner. A stale one is now a build error (vtable_catalog.validate).
name,rva,size,kind,unit,note
??_7CActionArea@@6B@,0x1e7004,0x40,primary,,
??_7CUserLogic@@6B@,0x1e705c,0x40,primary,,
??_7CUserBase@@6B@,0x1e70b4,0xc,primary,,
??_7?$zDArray@P8CUserLogic@@AEHXZ@@6B@,0x1e70fc,0x4,template,,source-emitted zDArray specialization
??_7CAmbientSound@@6B@,0x1e710c,0x10,primary,,
??_7CAmbientPosSound@@6B@,0x1e7124,0x10,primary,,
??_7CRandomAmbientSound@@6B@,0x1e713c,0x10,primary,,
??_7CGuardPoint@@6B@,0x1e7154,0x40,primary,,
??_7CWarpStonePad@@6B@,0x1e71ac,0x40,primary,,
??_7CToyPeek@@6B@,0x1e7204,0x40,primary,,
??_7CFortressFlag@@6B@,0x1e725c,0x40,primary,,
??_7CUFO@@6B@,0x1e72b4,0x54,primary,,
??_7CRainCloud@@6B@,0x1e7324,0x54,primary,,
??_7CPathHazard@@6B@,0x1e7394,0x54,primary,,
??_7CWarlord@@6B@,0x1e7404,0x40,primary,,
??_7CSingleAnimation@@6B@,0x1e745c,0x40,primary,,
??_7CWayPoint@@6B@,0x1e74b4,0x40,primary,,
??_7CKitchenSlime@@6B@,0x1e750c,0x40,primary,,
??_7CSecretTeleporterTrigger@@6B@,0x1e7564,0x40,primary,,
??_7CSpotLight@@6B@,0x1e75bc,0x40,primary,,
??_7CParticlez@@6B@,0x1e7614,0x40,primary,,
??_7CExplosion@@6B@,0x1e766c,0x40,primary,,
??_7CGruntPowerupSprite@@6B@,0x1e76c4,0x40,primary,,
??_7CTimeBomb@@6B@,0x1e771c,0x40,primary,,
??_7CToobSpikez@@6B@,0x1e7774,0x40,primary,,
??_7CGruntWingzTimeSprite@@6B@,0x1e77cc,0x44,primary,,
??_7CStaticHazard@@6B@,0x1e7824,0x40,primary,,
??_7CDroppedObjectShadow@@6B@,0x1e787c,0x40,primary,,
??_7CDroppedObject@@6B@,0x1e78d4,0x40,primary,,
??_7CBoomerang@@6B@,0x1e792c,0x48,primary,,
??_7CProjectile@@6B@,0x1e798c,0x48,primary,,
??_7CGruntToyTimeSprite@@6B@,0x1e79ec,0x44,primary,,
??_7CGruntStaminaSprite@@6B@,0x1e7a44,0x44,primary,,
??_7CObjectDropper@@6B@,0x1e7a9c,0x40,primary,,
??_7CLightFx@@6B@,0x1e7af4,0x40,primary,,
??_7CGruntToySprite@@6B@,0x1e7b4c,0x40,primary,,
??_7CGruntHealthSprite@@6B@,0x1e7ba4,0x44,primary,,
??_7CGruntSelectedSprite@@6B@,0x1e7bfc,0x40,primary,,
??_7CBrickz@@6B@,0x1e7c54,0x40,primary,,
??_7CInGameText@@6B@,0x1e7cac,0x40,primary,,
??_7CInGameIcon@@6B@,0x1e7d04,0x40,primary,,
??_7CGiantRock@@6B@,0x1e7d5c,0x40,primary,,
??_7CTileTriggerTransition@@6B@,0x1e7db4,0x40,primary,,
??_7CCoveredPowerup@@6B@,0x1e7e0c,0x40,primary,,
??_7CTileSecretTrigger@@6B@,0x1e7e64,0x40,primary,,
??_7CCheckpointTrigger@@6B@,0x1e7ebc,0x40,primary,,
??_7CTileTrigger@@6B@,0x1e7f14,0x40,primary,,
??_7CTileTriggerSwitch@@6B@,0x1e7f6c,0x40,primary,,
??_7CStatusBarSprite@@6B@,0x1e7fc4,0x40,primary,,
??_7CLevelTime@@6B@,0x1e801c,0x40,primary,,
??_7CCursorSnapSprite@@6B@,0x1e8074,0x40,primary,,
??_7CTeleporter@@6B@,0x1e80cc,0x40,primary,,
