# Manually maintained retail vtables and vtable-like tables from statically linked libraries.
# These are executable labels used for delinking, but are not reconstructed game-owned classes.
# unit is present only when a reconstructed object references/emits the catalogued symbol.
# A unit + a size ENROL the row in the delinker's data manifest, and that enrolled
# definition is the only thing that lets the delinker name the address: dropping the
# size does not leave a bare name behind, every reference falls back to
# `<nearest preceding symbol> + addend` (measured 2026-08-09 on ??_7type_info@@6B@:
# 435 ADDEND rows in the data-reloc sieve). So a table our objects only REFERENCE
# pays for its name with a target-side-only definition in the unit named here.
#
# Most such rows name a REAL unit because cl re-emits MFC vtables as COMDATs in
# any TU deriving from the class, so the enrolled definition pairs against a
# base-side emission. The two data no cl output can ever re-emit (CDialog's
# messageMap lives in NAFXCW dgcore.obj; type_info's vtable in LIBCMT
# typinfo.obj) are routed to the deliberate `library_data` holding unit: it is
# delinked - which is what binds every reference - but config/units.toml does
# not declare it, so objdiff never opens it and no game unit carries the
# unpairable payload. vtable_catalog.validate() sanctions exactly this name.
name,rva,size,unit,note
??_7CObject@@6B@,0x1e8cb4,0x14,wwdspatialmgr,MFC/CRT (statically linked; not reconstructed)
??_7CGdiObject@@6B@,0x1e8cd4,0x14,multistartdlgroster,MFC/CRT (statically linked; not reconstructed)
??_7CBrush@@6B@,0x1e8cf4,0x14,multistartdlgroster,MFC/CRT (statically linked; not reconstructed)
??_7CRgn@@6B@,0x1ea2a4,0x14,gruntzmgr,MFC/CRT (statically linked; not reconstructed)
??_7CMapStringToOb@@6B@,0x1eafd4,0x14,,MFC/CRT (statically linked; not reconstructed)
??_7CMapStringToPtr@@6B@,0x1eb014,0x14,,MFC/CRT (statically linked; not reconstructed)
??_7CPtrList@@6B@,0x1eb054,0x14,,MFC/CRT (statically linked; not reconstructed)
?messageMap@CDialog@@1UAFX_MSGMAP@@B,0x1eb068,0x8,library_data,"MFC AFX_MSGMAP {pBaseMessageMap=&CWnd::messageMap 0x1eb2e0, lpEntries=0x1eb070}; every CDialog-derived map chains to it - dialogs/battlezdlgcolors/customleveldlg/checkpointdlg/multihelpdlg/multistartdlg"
?_messageEntries@CDialog@@0PBUAFX_MSGMAP_ENTRY@@B,0x1eb070,0xd8,library_data,"CDialog map entries: 9 x 24-B AFX_MSGMAP_ENTRY, ends 0x1eb148 (NAFXCW dgcore.obj)"
?messageMap@CWnd@@1UAFX_MSGMAP@@B,0x1eb2e0,0x8,library_data,"CWnd AFX_MSGMAP {pBase=&CCmdTarget::messageMap 0x1eb6c8, lpEntries=0x1eb2e8}"
