source_enum	members	decision	current_enums	member_reuse	reason
include/Bute/ButeLexAction.h:ButeLexAction	LEXACT_ERROR=0;LEXACT_TAKE=1;LEXACT_SKIP=2;LEXACT_ACCEPT_TAKE=3;LEXACT_ACCEPT_SKIP=4;LEXACT_ACCEPT_PUSHBACK=5	retain	include/Bute/ButeLexAction.h:ButeLexAction		All evaluated equal-value and overlapping-domain rows were reviewed; ButeLexAction has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Bute/ButeMgr.h:SymTypes	INT_TYPE=0;DWORD_TYPE=1;DOUBLE_TYPE=2;FLOAT_TYPE=3;STRING_TYPE=4;RECT_TYPE=5;POINT_TYPE=6;VECTOR_TYPE=7;RANGE_TYPE=8	retain	include/Bute/ButeMgr.h:SymTypes		All evaluated equal-value and overlapping-domain rows were reviewed; SymTypes has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Bute/ButeToken.h:ButeToken	BUTETOK_NONE=0;BUTETOK_END=1;BUTETOK_TAG_OPEN=2;BUTETOK_TAG_CLOSE=3;BUTETOK_NAME=4;BUTETOK_ASSIGN=5;BUTETOK_INT=6;BUTETOK_INT_SIGNED=7;BUTETOK_DOUBLE=8;BUTETOK_STRING=9;BUTETOK_RECT=10;BUTETOK_POINT=11;BUTETOK_VECTOR=12;BUTETOK_RANGE=13;BUTETOK_KEYWORD_DWORD=14;BUTETOK_KEYWORD_FLOAT=15;BUTETOK_FLOAT_SUFFIX=16	retain	include/Bute/ButeToken.h:ButeToken		All evaluated equal-value and overlapping-domain rows were reviewed; ButeToken has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Bute/ButeTree.h:VariantSlotKind	VARIANT_SLOT_RECORD_VALUE=1;VARIANT_SLOT_CALLBACK=2;VARIANT_SLOT_DIRECT_VALUE=4	retain	include/Bute/ButeTree.h:VariantSlotKind		All evaluated equal-value and overlapping-domain rows were reviewed; VariantSlotKind has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Bute/PTreeNode.h:PTreeBitLayout	PTREE_BITS_PER_BYTE=8;PTREE_BYTE_BIT_SHIFT=3;PTREE_BYTE_BIT_MASK=7	retain	include/Bute/PTreeNode.h:PTreeBitLayout		All evaluated equal-value and overlapping-domain rows were reviewed; PTreeBitLayout has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Bute/PTreeNode.h:cleanup_behaviour	PASSIVE=0;NONE=1;ACTIVE=2	retain	include/Bute/PTreeNode.h:cleanup_behaviour		All evaluated equal-value and overlapping-domain rows were reviewed; cleanup_behaviour has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Bute/PTreeNode.h:marker_validity	SUSPECT=4	retain	include/Bute/PTreeNode.h:marker_validity		All evaluated equal-value and overlapping-domain rows were reviewed; marker_validity has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Crypto/FecCrypt.h:FecFormatSize	FEC_MAGIC_SIZE=3;FEC_ENTRY_NAME_CAPACITY=256;FEC_RANDOM_BYTE_MODULUS=255;FEC_SCRAMBLE_BASE=696;FEC_SCRAMBLE_RANGE=1024;FEC_COPY_BUFFER_SIZE=32768	retain	include/Crypto/FecCrypt.h:FecFormatSize		All evaluated equal-value and overlapping-domain rows were reviewed; FecFormatSize has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Crypto/FecCrypt.h:FecFormatOffset	FEC_ENTRY_TABLE_OFFSET=15;FEC_FILE_COUNT_OFFSET=11;FEC_FIRST_PAYLOAD_ADJUSTMENT=413;FEC_NEXT_PAYLOAD_ADJUSTMENT=428	retain	include/Crypto/FecCrypt.h:FecFormatOffset		All evaluated equal-value and overlapping-domain rows were reviewed; FecFormatOffset has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/ClutTable.h:ClutTableLayout	CLUT_CHANNEL_ENTRY_COUNT=32768;CLUT_CHANNEL_COUNT=3;CLUT_ENTRY_COUNT=98304;CLUT_GREEN_OFFSET=0;CLUT_BLUE_OFFSET=32768;CLUT_RED_OFFSET=65536;CLUT_BLEND_LEVEL_COUNT=32;CLUT_BLEND_PERCENT_MAX=100;CLUT_LEVEL_BYTE_SHIFT=11;CLUT_CHANNEL_VALUE_BYTE_SHIFT=6;CLUT_ALPHA_BANK_ENTRY_COUNT=1024;CLUT_ALPHA_LEVEL_SHIFT=3;CLUT_ALPHA_NIBBLE_SHIFT=4;CLUT_ALPHA_INDEX_SHIFT=12	retain	include/DDrawMgr/ClutTable.h:ClutTableLayout		All evaluated equal-value and overlapping-domain rows were reviewed; ClutTableLayout has distinct producers, consumers, or encoding and does not transport another enum's values.
