# gruntz.cleanliness.vtable_slot_binding - the FROZEN backlog of vtable slots whose
# body is bound under a non-virtual / wrong-class name (see the module docstring).
# The gate fails on any violation NOT listed here, so no NEW wiring defect can land.
# Drive these to 0 by wiring each body to its class's declared virtual; re-bless
# with `python -m gruntz.cleanliness.vtable_slot_binding --update`.
kind	vtable_rva	class	slot	body_rva	symbol	unit
WIRING	0x1e7004	CActionArea	1	0x008600	?Serialize@CPulseHighlight@@QAEHPAVCFileMemBase@@HHH@Z	actionarea
WIRING	0x1e7124	CAmbientPosSound	3	0x00c5b0	?UpdateAt@CRandomAmbientSound@@QAEXHHH@Z	worldsoundset
WIRING	0x1e713c	CRandomAmbientSound	3	0x00cb30	?Step@CRandomAmbientSound@@QAEXHHH@Z	worldsoundset
MISBOUND	0x1e72b4	CUFO	2	0x0133b0	?GetTypeTag@CVoiceTrigger@@UAE?AW4LogicTypeId@@XZ	gruntvoice
WIRING	0x1e7324	CRainCloud	1	0x0b4cb0	?Method_b4cb0@CUFO@@QAEHPAXHHH@Z	ufo
WIRING	0x1e7324	CRainCloud	20	0x0b4640	?ArmStrike@CPathHazard@@QAEHHH@Z	pathhazard
WIRING	0x1e798c	CProjectile	1	0x0e0d40	?Load@CProjLoadRec@@QAEHPAVCFileMemBase@@HHPAUCGameObject@@@Z	projloadrec
WIRING	0x1e9634	CGruntzSingleCommand	9	0x024140	?ApplyOne@CGruntzCommand@@QAEHPAVCPlay@@@Z	gruntzcmdmgr
WIRING	0x1e96b4	CGruntzMultiCommand	9	0x024190	?ApplyMask@CGruntzCommand@@QAEHPAVCPlay@@@Z	gruntzcmdmgr
WIRING	0x1e9f0c	CDemo	42	0x03c0e0	?BuildWorldLevelKey@CWorldState@@QAEHH@Z	demo
WIRING	0x1e9fe4	CMulti	42	0x0dbc80	?BuildWorldLevelPath@CWorldState@@QAEHH@Z	worldlevelpath
WIRING	0x1ea0bc	CPlay	42	0x0dbc80	?BuildWorldLevelPath@CWorldState@@QAEHH@Z	worldlevelpath
WIRING	0x1ea8ec	CMultiStartDlg	51	0x0c4c00	?VerifyCustomLevel@CMultiStartDlg@@QAEXXZ	multistartdlgroster
WIRING	0x1eaecc	CTileExclusiveTriggerSwitchLogic	2	0x112080	?Broadcast@CTileTriggerSwitchLogic@@QAEHXZ	tileswitchlogic
WIRING	0x1efbe8	CDDrawWorker	7	0x151eb0	?DeleteAll@CDDrawWorker@@QAEXXZ	wwdgameobject
WIRING	0x1efd00	CDDrawWorkerCache	7	0x165210	?DestroyAll@CDDrawWorkerRegistry@@QAEXXZ	ddrawsurfacepair
MISBOUND	0x1effa0	CDrawSubWorker	9	0x158fd0	?SetGeometry@CDDrawSurfacePair@@UAEHHHH@Z	ddrawsubmgr
