name,rva,size
??_7CActionArea@@6B@,0x1e7004,0x40
??_7?$zDArray@P8CUserLogic@@AEHXZ@@6B@,0x1e70fc,0x4
??_7CAmbientSound@@6B@,0x1e710c,0x10
??_7CRandomAmbientSound@@6B@,0x1e713c,0x10
??_7CGuardPoint@@6B@,0x1e7154,0x40
??_7CToyPeek@@6B@,0x1e7204,0x40
??_7CFortressFlag@@6B@,0x1e725c,0x40
??_7CUFO@@6B@,0x1e72b4,0x54
??_7CPathHazard@@6B@,0x1e7394,0x54
??_7CWarlord@@6B@,0x1e7404,0x40
??_7CSingleAnimation@@6B@,0x1e745c,0x40
??_7CWayPoint@@6B@,0x1e74b4,0x40
??_7CKitchenSlime@@6B@,0x1e750c,0x40
??_7CSecretTeleporterTrigger@@6B@,0x1e7564,0x40
??_7CSpotLight@@6B@,0x1e75bc,0x40
??_7CParticlez@@6B@,0x1e7614,0x40
??_7CExplosion@@6B@,0x1e766c,0x40
??_7CGruntPowerupSprite@@6B@,0x1e76c4,0x40
??_7CTimeBomb@@6B@,0x1e771c,0x40
??_7CToobSpikez@@6B@,0x1e7774,0x40
??_7CStaticHazard@@6B@,0x1e7824,0x40
??_7CDroppedObjectShadow@@6B@,0x1e787c,0x40
??_7CDroppedObject@@6B@,0x1e78d4,0x40
??_7CBoomerang@@6B@,0x1e792c,0x48
??_7CProjectile@@6B@,0x1e798c,0x48
??_7CGruntToyTimeSprite@@6B@,0x1e79ec,0x44
??_7CObjectDropper@@6B@,0x1e7a9c,0x40
??_7CLightFx@@6B@,0x1e7af4,0x40
??_7CGruntHealthSprite@@6B@,0x1e7ba4,0x44
??_7CGruntSelectedSprite@@6B@,0x1e7bfc,0x40
??_7CBrickz@@6B@,0x1e7c54,0x40
??_7CInGameText@@6B@,0x1e7cac,0x40
??_7CInGameIcon@@6B@,0x1e7d04,0x40
??_7CTileTriggerTransition@@6B@,0x1e7db4,0x40
??_7CCheckpointTrigger@@6B@,0x1e7ebc,0x40
??_7CTileTrigger@@6B@,0x1e7f14,0x40
??_7CTileTriggerSwitch@@6B@,0x1e7f6c,0x40
??_7CStatusBarSprite@@6B@,0x1e7fc4,0x40
??_7CLevelTime@@6B@,0x1e801c,0x40
??_7CCursorSnapSprite@@6B@,0x1e8074,0x40
??_7CGruntPuddle@@6B@,0x1e8124,0x40
??_7CWormhole@@6B@,0x1e817c,0x40
??_7CGruntCreationPoint@@6B@,0x1e81d4,0x40
??_7CExitTrigger@@6B@,0x1e822c,0x40
??_7CGruntStartingPoint@@6B@,0x1e8284,0x40
??_7CMenuSparkle@@6B@,0x1e82dc,0x40
??_7CEyeCandyAni@@6B@,0x1e8334,0x40
??_7CBehindCandyAni@@6B@,0x1e838c,0x40
??_7CFrontCandyAni@@6B@,0x1e83e4,0x40
??_7CEyeCandy@@6B@,0x1e843c,0x40
??_7CBehindCandy@@6B@,0x1e8494,0x40
??_7CFrontCandy@@6B@,0x1e84ec,0x40
??_7CSimpleAnimation@@6B@,0x1e8544,0x40
??_7CDoNothingNormal@@6B@,0x1e859c,0x40
??_7CSingleFrameMessage@@6B@,0x1e864c,0x40
??_7CAniCycle@@6B@,0x1e86a4,0x40
??_7CRollingBall@@6B@,0x1e86fc,0x40
??_7CGrunt@@6B@,0x1e8754,0x44
??_7CMovingLogic@@6B@,0x1e87ac,0x44
??_7CSecretLevelTrigger@@6B@,0x1e8804,0x40
??_7CVoiceTrigger@@6B@,0x1e885c,0x40
