category	rva	size	status	raw_name	normalized_name	api_evidence
winapi	0x00afb0	264	tracked	?AdvancedOptionsDialogProc@@YGHPAXIIJ@Z	?AdvancedOptionsDialogProc@@YGHPAUHWND__@@IIJ@Z	BringWindowToTop;EndDialog;IsIconic;LoadIconA;SendMessageA;SetForegroundWindow;ShowWindow
winapi	0x00b110	50	tracked	?SaveOption@@YAXPAXPAVRegistryHelper@Utils@@PADK@Z	?SaveOption@@YAXPAUHWND__@@PAVRegistryHelper@Utils@@PADK@Z	IsDlgButtonChecked
winapi	0x00c840	317	greenfield	FUN_0040c840	FUN_0040c840	CopyRect;SetRect
winapi	0x00cd00	70	greenfield	FUN_0040cd00	FUN_0040cd00	timeGetTime
winapi	0x00cd70	229	greenfield	FUN_0040cd70	FUN_0040cd70	timeGetTime
winapi	0x0143e0	251	greenfield	FUN_004143e0	FUN_004143e0	PostMessageA
winapi	0x014720	55	greenfield	FUN_00414720	FUN_00414720	PostMessageA
winapi	0x014d00	2664	greenfield	FUN_00414d00	FUN_00414d00	GetWindow;GetWindowLongA;SetWindowLongA
winapi	0x015cc0	35	greenfield	FUN_00415cc0	FUN_00415cc0	SendMessageA
winapi	0x015d00	32	greenfield	FUN_00415d00	FUN_00415d00	SendMessageA
winapi	0x015d30	33	greenfield	FUN_00415d30	FUN_00415d30	SendMessageA
winapi	0x015d70	36	greenfield	FUN_00415d70	FUN_00415d70	SendMessageA
winapi	0x015fe0	190	greenfield	FUN_00415fe0	FUN_00415fe0	SendMessageA
winapi	0x0160f0	581	greenfield	FUN_004160f0	FUN_004160f0	CreateSolidBrush;FillRect;GetClientRect
winapi	0x016cd0	152	greenfield	FUN_00416cd0	FUN_00416cd0	InvalidateRect
winapi	0x016dc0	151	greenfield	FUN_00416dc0	FUN_00416dc0	InvalidateRect
winapi	0x016e90	152	greenfield	FUN_00416e90	FUN_00416e90	InvalidateRect
winapi	0x016f60	152	greenfield	FUN_00416f60	FUN_00416f60	InvalidateRect
winapi	0x017030	193	greenfield	FUN_00417030	FUN_00417030	GetWindow
