rva,unit,opt,size,name
0x1000,SOURCE/SMACKMGR,Od,0x4e,?ConvertSmackerPalette@@YIXPAE@Z
0x104e,SOURCE/SMACKMGR,Od,0x21f,?DoAdvance@@YIXPAUSmackTag@@HHHH@Z
0x126d,SOURCE/SMACKMGR,Od,0x118c,?SmackManagerMain@@YIXXZ
0x23f9,SOURCE/SMACKMGR,Od,0x56,?ShutDownSmacker@@YIXXZ
0x244f,SOURCE/SMACKMGR,Od,0x17f,?PlaySmacker@@YIHH@Z
0x25ce,SOURCE/SMACKMGR,Od,0x65,?ExpansionCampaignRect@@YIHHH@Z
0x2633,SOURCE/SMACKMGR,Od,0x89,?PointInRect@@YICHHPAUtag_rect@@@Z
0x26bc,SOURCE/SMACKMGR,Od,0x251,?PrintSummaryInfo@@YIXPAUSmackSumTag@@@Z
0x2910,SOURCE/DRAWING,Od,0x41,?NoShowCombatLog@combatManager@@QAEXPAD@Z
0x2951,SOURCE/DRAWING,Od,0xda,?ClearCombatMessages@combatManager@@QAEXH@Z
0x2a2b,SOURCE/DRAWING,Od,0x5d,?CheckUpdateCombatMessages@combatManager@@QAEXXZ
0x2a88,SOURCE/DRAWING,Od,0x3f8,?CombatMessage@combatManager@@QAEXPADHHH@Z
0x2e80,SOURCE/DRAWING,Od,0x3fe,?CombatMessage@combatManager@@QAEXH@Z
0x327e,SOURCE/DRAWING,Od,0x126,?ResetLimitCreature@combatManager@@QAEXXZ
0x33a4,SOURCE/DRAWING,Od,0x6a,?UpdateCombatArea@combatManager@@QAEXXZ
0x340e,SOURCE/DRAWING,Od,0x213,?SetupGridForArmy@combatManager@@QAEXPAVarmy@@@Z
0x3621,SOURCE/DRAWING,Od,0x5fb,?UpdateGrid@combatManager@@QAEHHH@Z
0x3c1c,SOURCE/DRAWING,Od,0x364,?DrawBackground@combatManager@@QAEXXZ
0x3f80,SOURCE/DRAWING,Od,0x64c,?UpdateMouseGrid@combatManager@@QAEXHH@Z
0x45cc,SOURCE/DRAWING,Od,0x173f,?DrawFrame@combatManager@@QAEXHHHHHHH@Z
0x5d0b,SOURCE/DRAWING,Od,0xb99,?DrawSmallView@combatManager@@QAEXHH@Z
0x68b0,SOURCE/Wsnetwin,Od,0x5b5,?wsnet_init@@YIFXZ
0x6e65,SOURCE/Wsnetwin,Od,0xd2,?wsnet_term@@YIXXZ
0x6f37,SOURCE/Wsnetwin,Od,0x1f5,?wsSendMessage@@YIXHEGPAX@Z
0x712c,SOURCE/Wsnetwin,Od,0x61,?wsnet_snd@@YIHHHPAX@Z
0x718d,SOURCE/Wsnetwin,Od,0xa7,?wsnet_rcv@@YIFFGPAX@Z
0x7234,SOURCE/Wsnetwin,Od,0xaf,?wsProcessMessages@@YIXXZ
0x72e3,SOURCE/Wsnetwin,Od,0x37d,?wsEvaluateMessage@@YIXKH@Z
0x7660,SOURCE/Wsnetwin,Od,0x2e,?wsWaitForFirstGuest@@YIHXZ
0x768e,SOURCE/Wsnetwin,Od,0xb8,?wsWaitForExtraGuests@@YIHXZ
0x7746,SOURCE/Wsnetwin,Od,0x126,?wsWaitForHost@@YIHXZ
0x7870,SOURCE/Overview,Od,0x223e,?SetupDynamicStuff@game@@QAEXHHH@Z
0x9aae,SOURCE/Overview,Od,0x357,?SetupNewOverviewType@game@@QAEXHH@Z
0x9e05,SOURCE/Overview,Od,0x84,?SetupResources@game@@QAEXXZ
0x9e89,SOURCE/Overview,Od,0x4c7,?Overview@game@@QAEXXZ
0xa350,SOURCE/Overview,Od,0x31f,?DoKnob@game@@QAEXXZ
0xa66f,SOURCE/Overview,Od,0x4fd,?OverviewHandler@@YIHAAUtag_message@@@Z
0xab6c,SOURCE/Overview,Od,0x4fa,?ProcessIconSelect@game@@QAEHHH@Z
0xb070,EDITOR/mapcell,Od,0x36,??0fullMap@@QAE@XZ
0xb0a6,EDITOR/mapcell,Od,0x1e,??1fullMap@@QAE@XZ
0xb0c4,EDITOR/mapcell,Od,0x81,?Close@fullMap@@QAEXXZ
0xb145,EDITOR/mapcell,Od,0x53,?Init@fullMap@@QAEXHH@Z
0xb198,EDITOR/mapcell,Od,0xce,?ClearCellExtra@fullMap@@QAEXH@Z
0xb266,EDITOR/mapcell,Od,0x130,?GetNewCellExtraIndex@fullMap@@QAEHXZ
0xb396,EDITOR/mapcell,Od,0x1d3,?GetNewCellExtraOverlay@fullMap@@QAEPAUmapCellExtra@@HH@Z
0xb569,EDITOR/mapcell,Od,0x1d3,?GetNewCellExtraObject@fullMap@@QAEPAUmapCellExtra@@HH@Z
0xb73c,EDITOR/mapcell,Od,0x9e,?Write@fullMap@@QAEXH@Z
0xb7da,EDITOR/mapcell,Od,0x295,?Read@fullMap@@QAEXHH@Z
0xba6f,EDITOR/mapcell,Od,0x2ea,?ChangeTilesetIndex@fullMap@@QAEXPAVmapCell@@HHHHHH@Z
0xbd60,SOURCE/VIEW,Od,0x6d3,?ViewGeneral@combatManager@@QAEHHHH@Z
