rva,kind,interval_unit,bytes
0x00007970,body,?,b8 01 00 00 00 c7 05 28 93 62 00 00 00 00 00 a3
0x000087d0,stdcall-stub,?,b8 01 00 00 00 c2 10 00 90 90 90 90 90 90 90 90
0x00008810,body,?,8a 44 24 04 56 8b f1 a8 01 c7 06 b4 70 5e 00 74
0x00008840,body,?,83 c8 ff c3 90 90 90 90 90 90 90 90 90 90 90 90
0x000088f0,ret-const,?,b8 01 00 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00008910,ret-const,?,b8 01 00 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00008930,ret-const,?,b8 01 00 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00008950,ret-void,?,c3 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
0x00008970,ret-void,?,c3 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
0x00008990,ret-void,?,c3 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
0x000089b0,ret-void,?,c3 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
0x000089d0,ret-void,?,c3 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
0x000089f0,ret-void,?,c3 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
0x00008b50,stdcall-stub,?,c2 04 00 90 90 90 90 90 90 90 90 90 90 90 90 90
0x00008b70,stdcall-stub,?,c2 04 00 90 90 90 90 90 90 90 90 90 90 90 90 90
0x0000c810,body,worldsoundset,8b 44 24 04 c7 05 0c 99 62 00 01 00 00 00 50 e8
0x0000d2a0,body,?,64 a1 00 00 00 00 6a ff 68 76 81 5d 00 50 8b 44
0x0000f2a0,ret-const,?,b8 e8 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x0000f400,body,?,56 68 de 9c 5b 00 68 93 9b 5b 00 8b f1 6a 05 6a
0x0000f430,body,?,68 de 9c 5b 00 6a 05 6a 04 51 e8 01 02 11 00 c3
0x0000f580,ret-const,?,b8 eb 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x0000f7e0,ret-const,?,b8 ed 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x0000f910,ret-const,?,b8 ee 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x0000fdd0,ret-const,?,b8 f2 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00010160,ret-const,?,b8 f5 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00010480,ret-const,?,b8 21 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x000105b0,ret-const,?,b8 f6 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x000106e0,ret-const,?,b8 f8 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x000107a0,ret-const,?,b8 22 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00010930,ret-const,?,b8 fa 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x000109f0,ret-const,?,b8 1e 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00010b90,ret-const,?,b8 2c 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00010cc0,ret-const,?,b8 fb 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00011030,ret-const,?,b8 00 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x000111d0,ret-const,?,b8 01 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00011430,ret-const,?,b8 02 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x000114f0,ret-const,?,b8 03 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x000115b0,ret-const,?,b8 06 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00011670,ret-const,?,b8 04 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00011860,ret-const,?,b8 fd 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00011990,ret-const,?,b8 fe 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00011ac0,ret-const,?,b8 ff 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00011cb0,ret-const,?,b8 07 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00011d70,ret-const,?,b8 08 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00011e30,ret-const,?,b8 0a 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00011f60,ret-const,?,b8 0b 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00012260,ret-const,?,b8 0c 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00012320,ret-const,?,b8 1a 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x000123e0,ret-const,?,b8 0d 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00012560,ret-const,?,b8 14 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00012620,ret-const,?,b8 15 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00012960,ret-const,?,b8 12 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x000129b0,ret-const,?,b8 13 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00012a20,ret-const,?,b8 19 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00012e00,ret-const,?,b8 1b 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00012f30,ret-const,?,b8 e9 03 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x000130b0,ret-const,?,b8 1f 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00013210,ret-const,?,b8 24 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00013230,stdcall-stub,?,b8 01 00 00 00 c2 08 00 90 90 90 90 90 90 90 90
0x00013550,ret-const,?,b8 2b 04 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x00013bb0,body,?,83 c8 ff c3 90 90 90 90 90 90 90 90 90 90 90 90
0x00014b10,body,?,e9 7a 66 1a 00 90 90 90 90 90 90 90 90 90 90 90
0x00014bc0,stdcall-stub,dialogs,c2 04 00 90 90 90 90 90 90 90 90 90 90 90 90 90
0x00014be0,ret-void,dialogs,c3 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
0x00014c00,stdcall-stub,dialogs,c2 04 00 90 90 90 90 90 90 90 90 90 90 90 90 90
0x00014c20,body,dialogs,8b 41 1c 6a 00 50 ff 15 cc 44 6c 00 c3 90 90 90
0x00014c40,body,dialogs,8b 41 1c 6a 01 50 ff 15 cc 44 6c 00 c3 90 90 90
0x00015aa0,ret-const,dialogs,b8 b0 88 5e 00 c3 90 90 90 90 90 90 90 90 90 90
0x000160d0,body,dialogs,e8 89 4b 1a 00 b8 01 00 00 00 c3 90 90 90 90 90
0x000163e0,body,dialogs,8a 44 24 04 56 8b f1 a8 01 c7 06 b4 8c 5e 00 74
0x00016570,body,dialogs,8b 44 24 08 8b 54 24 04 50 52 e8 99 59 1a 00 c2
0x000165a0,body,dialogs,64 a1 00 00 00 00 6a ff 68 18 8e 5d 00 50 64 89
0x000172c0,body,dialogs,6a 00 e8 d3 a3 fe ff c3 90 90 90 90 90 90 90 90
0x000172e0,body,dialogs,6a 01 e8 b3 a3 fe ff c3 90 90 90 90 90 90 90 90
