class,rva,name,source,observed_on,objects,note
(ambiguous),0xf9ea0,LoadGameAssetNamespaces,trace,CBootyState/CCreditsState/CMenuState/CPlay/CState/CmdHost_0953f0/PaintHost_0fac70/StatusBarItem,24,no common ancestor
(ambiguous),0x136260,FUN_00536260,trace,DirectSoundMgr/MallocCtor_136180,24,no common ancestor
(ambiguous),0x135300,FUN_00535300,trace,DirectSoundMgr/MallocCtor_136180,24,no common ancestor
(ambiguous),0xfa150,FUN_004fa150,trace,CBootyState/CCreditsState/CMenuState/CPlay/CState/CmdHost_0953f0/PaintHost_0fac70/StatusBarItem,24,no common ancestor
(ambiguous),0x138c20,thirdparty_138c20_AIL_allocate_sequence_handle_4_AIL_init_sequence_12_AIL_,trace,AilSeq/CGruntzSoundInnerZ,24,no common ancestor
(ambiguous),0x138a50,FUN_00538a50,trace,AilSeq/CGruntzSoundInnerZ,24,no common ancestor
(ambiguous),0x150eb0,FUN_00550eb0,trace,CGameObject/CGruntAnimPlayer/MallocCtor_15b390,24,no common ancestor
(ambiguous),0x150f90,FUN_00550f90,trace,CGameObject/CGruntAnimPlayer/MallocCtor_15b390,24,no common ancestor
(ambiguous),0x151070,FUN_00551070,trace,CGameObject/CGruntAnimPlayer/MallocCtor_15b390,24,no common ancestor
(ambiguous),0x16e4f0,FUN_0056e4f0,trace,CGruntStartingPoint/CSecretLevelTrigger/CTileTrigger/CTileTriggerSwitch/CVoiceTrigger/CWarlord,24,no common ancestor
(ambiguous),0x8b90,FUN_00408b90,trace,CGruntStartingPoint/CSecretLevelTrigger/CTileTrigger/CTileTriggerSwitch/CVoiceTrigger/CWarlord,24,no common ancestor
(ambiguous),0x15b790,FUN_0055b790,trace,CGameObject/CGruntAnimPlayer/MallocCtor_15b390,24,no common ancestor
(ambiguous),0x50ca0,FUN_00450ca0,trace,CGrunt/CUserLogic,24,no common ancestor
(ambiguous),0x113860,FUN_00513860,trace,CGruntzApp/CTileTriggerSwitchLogic,24,no common ancestor
(ambiguous),0x1138b0,FUN_005138b0,trace,CGruntzApp/CTileTriggerSwitchLogic,24,no common ancestor
(ambiguous),0x12070,FUN_00412070,trace,CGruntHealthSprite/CGruntStaminaSprite,24,no common ancestor
(ambiguous),0x60150,LoadGruntDeathAnimations,trace,CGrunt/CUserLogic,24,no common ancestor
(ambiguous),0x517b0,FUN_004517b0,trace,CGrunt/CUserLogic,24,no common ancestor
(ambiguous),0xfa1f0,FUN_004fa1f0,trace,CBootyState/CCreditsState/CMenuState/CPlay/CState/CmdHost_0953f0/PaintHost_0fac70/StatusBarItem,22,no common ancestor
(ambiguous),0x65e80,LoadPickupSprites,trace,CGrunt/CUserLogic,22,no common ancestor
(ambiguous),0x110570,LoadSwitchDownSprite,trace,CGruntzApp/CTileTriggerSwitchLogic,22,no common ancestor
(ambiguous),0xfa8f0,FUN_004fa8f0,trace,CBootyState/CCreditsState/CMenuState/CPlay/CState/CmdHost_0953f0/PaintHost_0fac70/StatusBarItem,21,no common ancestor
(ambiguous),0x135c20,FUN_00535c20,trace,CStatusBarMgr/DirectSoundMgr,21,no common ancestor
(ambiguous),0x52f40,FUN_00452f40,trace,CGrunt/CUserLogic,18,no common ancestor
(ambiguous),0x65630,LoadBombGruntRunConfig,trace,CGrunt/CUserLogic,17,no common ancestor
